Line,Machine,Vendor,TagName,Value
Line1,Filler01,VendorA,FIL01_RUN_FB,1
Line1,Filler01,VendorA,FIL01_SPEED_RPM,1450
Line1,Filler01,VendorA,FIL01_MOTOR_TEMP,68
Line1,Filler01,VendorA,FIL01_FAULT_CODE,0
Line1,Filler01,VendorA,FIL01_CYCLE_COUNT,12450
Line1,Filler01,VendorA,FIL01_AIR_PRESS,6.8
Line1,Filler01,VendorA,FIL01_ENERGY_KWH,22.5
Line1,Filler01,VendorA,FIL01_GOOD_COUNT,850
Line1,Filler02,VendorB,RUNNING_STS,1
Line1,Filler02,VendorB,DRV_ACTSPD,1442
Line1,Filler02,VendorB,MTR_TMP_ACT,70
Line1,Filler02,VendorB,ALM_ACTIVE_CODE,0
Line1,Filler02,VendorB,CNT_TOTAL_CYC,11980
Line1,Filler02,VendorB,PNEU_AIR_BAR,6.7
Line1,Filler02,VendorB,PWR_KWH_TOT,23.1
Line1,Filler02,VendorB,GOOD_PARTS_CNT,842
Line1,Filler03,VendorC,MC3_RUNNING,1
Line1,Filler03,VendorC,MC3_SPEED_ACTUAL,1438
Line1,Filler03,VendorC,MC3_TEMP_MOTOR,69
Line1,Filler03,VendorC,MC3_PART_COUNT,839
Line1,Filler02,VendorB,XYZ99_UNKNOWN,123
Line1,Filler02,VendorB,HR_EMPLOYEE_ID,7845
